Make;Model;Year;Engine_Fuel_Type;Engine_HP;Engine_Cylinders;Transmission_Type;Driven_Wheels;Number_of_Doors;Vehicle_Size;Vehicle_Style;highway_L_100Km;city_L_100Km;Popularity;Price
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Toyota;S_86;s4_2013_up;premium_unleaded__recommended_;s03_200_300;s3_4_6;MANUAL;rear_wheel_drive;s1_below_3;Compact;Coupe;s2_10_15;s2_5_10;s05_2000_2500;s03_20000_30000
Toyota;S_86;s4_2013_up;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;rear_wheel_drive;s1_below_3;Compact;Coupe;s2_10_15;s3_10_15;s05_2000_2500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_200;s4_2013_up;flex_fuel__unleaded_E85_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s3_15_20;s2_5_10;s03_1000_1500;s03_20000_30000
Chrysler;S_300;s4_2013_up;regular_unleaded;s04_300_400;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s03_200_300;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s04_300_400;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s04_300_400;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s03_200_300;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s03_200_300;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s04_300_400;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s03_200_300;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
Chrysler;S_300;s4_2013_up;regular_unleaded;s04_300_400;s4_6_8;AUTOMATIC;rear_wheel_drive;s2_3_up;Large;Sedan;s2_10_15;s2_5_10;s03_1000_1500;s04_30000_40000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s1_below_3;Compact;S_2dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
FIAT;S_500;s4_2013_up;premium_unleaded__recommended_;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Porsche;S_911;s4_2013_up;premium_unleaded__required_;s04_300_400;s4_6_8;MANUAL;rear_wheel_drive;s1_below_3;Compact;Coupe;s2_10_15;s2_5_10;s04_1500_2000;s08_70000_80000
Porsche;S_911;s4_2013_up;premium_unleaded__required_;s04_300_400;s4_6_8;MANUAL;rear_wheel_drive;s1_below_3;Compact;Coupe;s2_10_15;s2_5_10;s04_1500_2000;s08_70000_80000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s4_6_8;AUTOMATIC;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s05_40000_50000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s05_40000_50000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s05_40000_50000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s05_40000_50000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;MANUAL;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s1_below_3;Compact;Convertible;s2_10_15;s2_5_10;s01_below_500;s05_40000_50000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s03_20000_30000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s4_6_8;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s05_40000_50000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s2_2005_2009;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s03_20000_30000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s03_20000_30000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;all_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
Saab;S_09_03_2017;s3_2009_2013;premium_unleaded__recommended_;s03_200_300;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Midsize;Sedan;s2_10_15;s2_5_10;s01_below_500;s04_30000_40000
